Time	S	P	C	I	k1	k_minus1	k2
0	1.0	0.0	1.0	0.0	0.5	0.5	0.5
1	0.712559	0.0711716	0.78373	0.21627	0.5	0.5	0.5
2	0.580803	0.186353	0.7671560000000001	0.232844	0.5	0.5	0.5
3	0.48694	0.298679	0.785618	0.21438200000000002	0.5	0.5	0.5
4	0.40984799999999993	0.399886	0.809735	0.19026500000000002	0.5	0.5	0.5
5	0.344454	0.489025	0.8334799999999999	0.16652	0.5	0.5	0.5
6	0.288783	0.566701	0.855485	0.144515	0.5	0.5	0.5
7	0.24152800000000002	0.633888	0.875416	0.12458399999999999	0.5	0.5	0.5
8	0.201579	0.691641	0.8932200000000001	0.10678	0.5	0.5	0.5
9	0.167937	0.7410140000000001	0.90895	0.0910497	0.5	0.5	0.5
10	0.139699	0.783018	0.922717	0.0772829	0.5	0.5	0.5
11	0.116066	0.8186	0.934666	0.0653345	0.5	0.5	0.5
12	0.0963322	0.848628	0.94496	0.0550399	0.5	0.5	0.5
13	0.07988669999999999	0.873886	0.953773	0.0462269	0.5	0.5	0.5
14	0.0662033	0.895073	0.961276	0.0387237	0.5	0.5	0.5
15	0.054832900000000004	0.912801	0.967634	0.0323661	0.5	0.5	0.5
16	0.0453946	0.9276040000000001	0.972999	0.027001	0.5	0.5	0.5
17	0.03756690000000001	0.939944	0.977511	0.022489099999999998	0.5	0.5	0.5
18	0.031079400000000004	0.9502149999999999	0.981294	0.018705799999999998	0.5	0.5	0.5
19	0.0257058	0.9587530000000001	0.984459	0.015541299999999997	0.5	0.5	0.5
20	0.021256900000000002	0.965843	0.9871	0.0128998	0.5	0.5	0.5
21	0.017575	0.971726	0.989301	0.0106988	0.5	0.5	0.5
22	0.014528899999999999	0.9766040000000001	0.991133	0.00886745	0.5	0.5	0.5
23	0.0120094	0.9806450000000001	0.992654	0.00734551	0.5	0.5	0.5
24	0.00992582	0.983992	0.9939180000000001	0.00608198	0.5	0.5	0.5
25	0.00820314	0.986763	0.994966	0.00503388	0.5	0.5	0.5
26	0.00677901	0.9890559999999999	0.995835	0.00416508	0.5	0.5	0.5
27	0.00560183	0.9909530000000001	0.996555	0.00344531	0.5	0.5	0.5
28	0.00462887	0.9925219999999999	0.997151	0.0028493000000000004	0.5	0.5	0.5
29	0.00382476	0.993819	0.9976440000000001	0.00235598	0.5	0.5	0.5
30	0.00316025	0.994892	0.998052	0.00194777	0.5	0.5	0.5
31	0.00261112	0.9957790000000001	0.99839	0.0016101	0.5	0.5	0.5
32	0.00215737	0.9965120000000001	0.998669	0.00133083	0.5	0.5	0.5
33	0.00178244	0.9971180000000001	0.9989	0.0010999	0.5	0.5	0.5
34	0.00147265	0.997618	0.999091	0.000908983	0.5	0.5	0.5
35	0.00121669	0.9980319999999999	0.9992489999999999	0.0007511610000000001	0.5	0.5	0.5
36	0.00100521	0.998374	0.9993790000000001	0.000620711	0.5	0.5	0.5
37	0.000830482	0.998657	0.9994870000000001	0.0005128940000000001	0.5	0.5	0.5
38	0.00068612	0.99889	0.999576	0.000423792	0.5	0.5	0.5
39	0.00056685	0.9990829999999999	0.99965	0.000350159	0.5	0.5	0.5
40	0.00046831	0.999242	0.999711	0.000289314	0.5	0.5	0.5
41	0.00038689999999999997	0.999374	0.999761	0.00023903599999999998	0.5	0.5	0.5
42	0.00031964	0.999483	0.9998030000000001	0.000197493	0.5	0.5	0.5
43	0.000264072	0.9995729999999999	0.9998370000000001	0.000163168	0.5	0.5	0.5
44	0.00021816400000000002	0.999647	0.999865	0.000134807	0.5	0.5	0.5
45	0.000180237	0.999708	0.9998889999999999	0.000111375	0.5	0.5	0.5
46	0.00014890299999999998	0.9997590000000001	0.999908	9.201549999999999e-05	0.5	0.5	0.5
47	0.000123017	0.999801	0.9999239999999999	7.60203e-05	0.5	0.5	0.5
48	0.00010163	0.9998360000000001	0.9999370000000001	6.28054e-05	0.5	0.5	0.5
49	8.39618e-05	0.999864	0.999948	5.18874e-05	0.5	0.5	0.5
50	6.93649e-05	0.9998879999999999	0.999957	4.2867299999999995e-05	0.5	0.5	0.5
51	5.7305699999999996e-05	0.999907	0.999965	3.54151e-05	0.5	0.5	0.5
52	4.7343000000000004e-05	0.999923	0.9999709999999999	2.92584e-05	0.5	0.5	0.5
53	3.9112399999999995e-05	0.9999370000000001	0.999976	2.4171999999999998e-05	0.5	0.5	0.5
54	3.23126e-05	0.999948	0.99998	1.99697e-05	0.5	0.5	0.5
55	2.6695e-05	0.999957	0.999984	1.6498e-05	0.5	0.5	0.5
56	2.2054e-05	0.999964	0.999986	1.36299e-05	0.5	0.5	0.5
57	1.82198e-05	0.9999709999999999	0.9999889999999999	1.12603e-05	0.5	0.5	0.5
58	1.50523e-05	0.999976	0.999991	9.30269e-06	0.5	0.5	0.5
59	1.24354e-05	0.99998	0.999992	7.68541e-06	0.5	0.5	0.5
60	1.0273499999999999e-05	0.999983	0.999994	6.34929e-06	0.5	0.5	0.5
61	8.487389999999999e-06	0.999986	0.9999950000000001	5.24546e-06	0.5	0.5	0.5
62	7.01183e-06	0.9999889999999999	0.9999959999999999	4.33352e-06	0.5	0.5	0.5
63	5.7928e-06	0.999991	0.9999959999999999	3.5801300000000002e-06	0.5	0.5	0.5
64	4.78571e-06	0.999992	0.9999969999999999	2.9577199999999998e-06	0.5	0.5	0.5
65	3.9537e-06	0.999994	0.9999979999999999	2.44351e-06	0.5	0.5	0.5
66	3.2663400000000002e-06	0.9999950000000001	0.9999979999999999	2.0187000000000003e-06	0.5	0.5	0.5
67	2.6984699999999997e-06	0.9999959999999999	0.9999979999999999	1.66775e-06	0.5	0.5	0.5
68	2.22933e-06	0.9999959999999999	0.999999	1.3778e-06	0.5	0.5	0.5
69	1.8417599999999998e-06	0.9999969999999999	0.999999	1.1382700000000002e-06	0.5	0.5	0.5
70	1.5215600000000001e-06	0.9999979999999999	0.999999	9.40376e-07	0.5	0.5	0.5
71	1.25703e-06	0.9999979999999999	0.999999	7.76889e-07	0.5	0.5	0.5
72	1.0384899999999998e-06	0.9999979999999999	0.999999	6.41824e-07	0.5	0.5	0.5
73	8.579479999999999e-07	0.999999	0.999999	5.30241e-07	0.5	0.5	0.5
74	7.08791e-07	0.999999	1.0	4.38057e-07	0.5	0.5	0.5
75	5.855660000000001e-07	0.999999	1.0	3.619e-07	0.5	0.5	0.5
76	4.83763e-07	0.999999	1.0	2.98982e-07	0.5	0.5	0.5
77	3.99659e-07	0.999999	1.0	2.47003e-07	0.5	0.5	0.5
78	3.30178e-07	0.999999	1.0	2.04061e-07	0.5	0.5	0.5
79	2.72775e-07	1.0	1.0	1.68585e-07	0.5	0.5	0.5
80	2.25352e-07	1.0	1.0	1.39275e-07	0.5	0.5	0.5
81	1.86174e-07	1.0	1.0	1.15062e-07	0.5	0.5	0.5
82	1.53808e-07	1.0	1.0	9.50584e-08	0.5	0.5	0.5
83	1.2706799999999998e-07	1.0	1.0	7.8532e-08	0.5	0.5	0.5
84	1.04976e-07	1.0	1.0	6.487880000000001e-08	0.5	0.5	0.5
85	8.672549999999999e-08	1.0	1.0	5.3599300000000005e-08	0.5	0.5	0.5
86	7.16477e-08	1.0	1.0	4.42807e-08	0.5	0.5	0.5
87	5.91906e-08	1.0	1.0	3.6581599999999995e-08	0.5	0.5	0.5
88	4.89002e-08	1.0	1.0	3.02219e-08	0.5	0.5	0.5
89	4.0398699999999994e-08	1.0	1.0	2.4967799999999998e-08	0.5	0.5	0.5
90	3.33753e-08	1.0	1.0	2.0627e-08	0.5	0.5	0.5
91	2.7572900000000003e-08	1.0	1.0	1.7041e-08	0.5	0.5	0.5
92	2.27793e-08	1.0	1.0	1.40784e-08	0.5	0.5	0.5
93	1.8819099999999997e-08	1.0	1.0	1.1630799999999999e-08	0.5	0.5	0.5
94	1.5547600000000003e-08	1.0	1.0	9.608940000000001e-09	0.5	0.5	0.5
95	1.2844799999999998e-08	1.0	1.0	7.93851e-09	0.5	0.5	0.5
96	1.0611600000000001e-08	1.0	1.0	6.55836e-09	0.5	0.5	0.5
97	8.766510000000001e-09	1.0	1.0	5.41799e-09	0.5	0.5	0.5
98	7.24224e-09	1.0	1.0	4.47594e-09	0.5	0.5	0.5
99	5.9831599999999994e-09	1.0	1.0	3.6977999999999998e-09	0.5	0.5	0.5
100	4.94293e-09	1.0	1.0	3.05492e-09	0.5	0.5	0.5
